Player,Pos,ADP,Min,Max,Range,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1078,1079,1080,1081,1082,1083
Agustin Ramirez,C,84.24,67.0,85.0,18.0,82.0,67.0,,85.0,72.0,,,,,,,,83.0,,,,,,,,,71.0
Cody Bellinger,OF,84.54,50.0,85.0,35.0,78.0,,60.0,66.0,63.0,73.0,,,,,50.0,71.0,85.0,74.0,,,,,,58.0,,
Kyle Bradish,P,84.56,65.0,94.0,29.0,77.0,74.0,75.0,68.0,80.0,74.0,78.0,,,,,,73.0,94.0,,74.0,,,65.0,81.0,,78.0
Maikel Garcia,3B,84.84,48.0,81.0,33.0,48.0,54.0,70.0,81.0,59.0,72.0,74.0,,,,,,72.0,65.0,61.0,65.0,63.0,52.0,71.0,72.0,,63.0
Ryan Helsley,P,87.91,64.0,95.0,31.0,95.0,75.0,71.0,70.0,,,,,,,,,77.0,78.0,,64.0,,,,,,64.0
Vinnie Pasquantino,1B,88.12,64.0,87.0,23.0,73.0,70.0,81.0,74.0,87.0,,68.0,,,,,72.0,74.0,64.0,,85.0,,,,80.0,72.0,80.0
Eury Perez,P,89.6,62.0,89.0,27.0,88.0,,,82.0,85.0,,,,,,,,89.0,86.0,,68.0,,,,62.0,,72.0
Nick Pivetta,P,89.8,80.0,104.0,24.0,90.0,,,,,,,,,,,,104.0,,,80.0,,,,84.0,,92.0
Geraldo Perdomo,SS,90.17,62.0,87.0,25.0,84.0,,66.0,,79.0,,,,,,,68.0,87.0,83.0,,,,62.0,69.0,,,79.0
Framber Valdez,P,91.26,74.0,89.0,15.0,74.0,,,89.0,76.0,,,,,,,,82.0,77.0,,86.0,,,,82.0,,82.0
Jeremy Pena,SS,94.74,81.0,98.0,17.0,,,,,86.0,,,,,,,,98.0,81.0,,,,,,,,89.0
Drake Baldwin,C,95.74,59.0,96.0,37.0,94.0,,77.0,83.0,94.0,,79.0,,,,,,96.0,92.0,,88.0,,,,,59.0,83.0
Randy Arozarena,OF,96.63,83.0,87.0,4.0,,,,87.0,83.0,,,,,,,,,85.0,,87.0,,,,,,
Seiya Suzuki,OF,98.38,83.0,101.0,18.0,83.0,,,,,,,,,,,,101.0,93.0,,,,,,,,88.0
Spencer Strider,P,98.48,84.0,84.0,0.0,,,,,84.0,,,,,,,,,,,,,,,,,
Salvador Perez,C / 1B,98.63,73.0,89.0,16.0,89.0,,,86.0,,,,,,,,,,73.0,,89.0,,,,,,87.0
Oneil Cruz,OF,99.97,74.0,91.0,17.0,81.0,,,,91.0,,,,,,,,90.0,,,83.0,,,,74.0,,
Tyler Soderstrom,OF / 1B,100.06,73.0,90.0,17.0,85.0,,,90.0,89.0,,73.0,,,,,,76.0,80.0,,,,,,78.0,,
Michael Harris II,OF,100.06,90.0,96.0,6.0,96.0,,,,,,,,,,,,,,,,,,,,,90.0
Corey Seager,SS,102.71,77.0,97.0,20.0,,,,78.0,77.0,,,,,,,,97.0,,,,,,,,,
Nolan McLean,P,103.94,72.0,108.0,36.0,86.0,,,,92.0,,,,,,,,108.0,72.0,,,,,,83.0,,
Jeff Hoffman,P,104.93,84.0,93.0,9.0,,,,91.0,93.0,,,,,,,,91.0,84.0,,,,,,,,
Will Smith,C,105.95,62.0,98.0,36.0,98.0,,,,,,,,,,,,,95.0,,,,,,,62.0,91.0
Nico Hoerner,2B,106.76,90.0,90.0,0.0,,,,,90.0,,,,,,,,,90.0,,,,,,,,
Trevor Megill,P,107.29,79.0,79.0,0.0,,,,,,,,,,,,,79.0,,,,,,,,,
George Springer,OF,107.38,91.0,91.0,0.0,91.0,,,,,,,,,,,,,,,,,,,,,
